Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
As a admin I want to verify working functionality of Add new button after 'Publishing property to add new property,RE-81,10080,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 9:55 PM,08/Sep/21 5:19 PM,08/Sep/21 5:19 PM,08/Sep/21 9:25 AM,,0,,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hj:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of Status field after selecting publish option,RE-80,10079,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 9:51 PM,08/Sep/21 5:19 PM,08/Sep/21 5:19 PM,08/Sep/21 9:25 AM,,0,As a admin I want to verify that status of property is changing according to requirement or not.,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 9:54 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;publishedoption.png;https://ksrtc110345.atlassian.net/secure/attachment/10032/publishedoption.png,,,,,,,,{},,,,,,,0|i000hb:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of Status field after selecting pending preview option,RE-79,10078,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 9:47 PM,08/Sep/21 5:20 PM,08/Sep/21 5:20 PM,08/Sep/21 9:25 AM,,0,As a admin I want to verify that status of property is changing according to requirement or not.,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 9:49 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;pending_preview.png;https://ksrtc110345.atlassian.net/secure/attachment/10031/pending_preview.png,,,,,,,,{},,,,,,,0|i000h3:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of Status field after selecting draft option,RE-78,10077,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 9:42 PM,08/Sep/21 5:20 PM,08/Sep/21 5:20 PM,08/Sep/21 9:58 AM,,0,As a admin I want to verify that status of property is changing according to requirement or not.,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 9:45 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;draft.png;https://ksrtc110345.atlassian.net/secure/attachment/10030/draft.png,,,,,,,,{},,,,,,,0|i000gv:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of view post option after publishing property,RE-77,10076,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 9:38 PM,08/Sep/21 5:20 PM,08/Sep/21 5:20 PM,08/Sep/21 9:58 AM,,0,"View post is the option which gets available when property is published,saved as draft , pending preview or updated",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gn:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of move to trash option after publishing property,RE-76,10075,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 9:34 PM,08/Sep/21 5:21 PM,08/Sep/21 5:21 PM,08/Sep/21 9:58 AM,,0,,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gf:,,RE Sprint 1,,,,,,,,Done
Apply Button should be present at Screen Option to get confirmation that selected checkbox are applied on page,RE-75,10074,Bug,To Do,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Highest,,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 9:16 PM,08/Sep/21 1:16 PM,08/Sep/21 5:21 PM,,,0,"1.Admin navigates to website

2.Admin logged in using valid login credentials

3.Admin Click on Properties

4.Admin Visits _add new_ option

5.Admin click on Add Property

6.Admin click on Screen Option

7.Admin make some changes on boxes ,layout and additional settings

8.*_Apply Button_* should be present at Screen Option

!screen1-20210907-153651.PNG|width=1168,height=294!



Expected Result: Apply Button should be present at Screen Option

Actual result: Apply Button is not present at Screen Option",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,RE-34,,RE-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 9:32 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;screen1-20210907-153651.PNG;https://ksrtc110345.atlassian.net/secure/attachment/10029/screen1-20210907-153651.PNG,,,,,,,,{},,,,,,,0|i000h7:,,RE Sprint 1,,,,,,,,To Do
URL should not generate with NULL VALUE,RE-74,10073,Bug,To Do,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 8:03 PM,08/Sep/21 1:16 PM,08/Sep/21 5:21 PM,,,0,"1.Admin navigates to website

2.Admin logged in using valid login credentials

3.Admin Click on Properties

4.Admin Visits _add new_ option

5.Admin click on Add Property

6.Admin double clicks enter button

7.URL gets generated

!URL_NULLvalue-20210907-143448.PNG|width=565,height=99!



Expected Result: URL should not get generate

Actual result: URL gets generated",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,RE-2,,RE-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 9:31 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;URL_NULLvalue-20210907-143448.PNG;https://ksrtc110345.atlassian.net/secure/attachment/10028/URL_NULLvalue-20210907-143448.PNG,07/Sep/21 8:05 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;URL_NULLvalue.PNG;https://ksrtc110345.atlassian.net/secure/attachment/10026/URL_NULLvalue.PNG,,,,,,,{},,,,,,,0|i000fh:,,RE Sprint 1,,,,,,,,To Do
As a admin I want to verify working functionality of 'UPDATE Button' so that I can 'UPDATE Published  property after clicking on update button,RE-73,10072,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 5:07 PM,08/Sep/21 5:30 PM,08/Sep/21 5:30 PM,08/Sep/21 9:58 AM,,0,,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fr:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of 'Publish Button' so that I can Publish my property after clicking on Publish button,RE-72,10071,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 5:01 PM,08/Sep/21 5:22 PM,08/Sep/21 5:21 PM,08/Sep/21 9:58 AM,,0,,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fj:,,RE Sprint 1,,,,,,,,Done
